Hospital Name,State,District
S.V.R.R.Hospital,ANDHRA PRADESH,CHITTOOR
Visakha Institute of Medical Sciences,ANDHRA PRADESH,VISHAKHAPATNAM
"CHC, K.KOTAPADU",ANDHRA PRADESH,VISHAKHAPATNAM
CHC ADDATEEGALA,ANDHRA PRADESH,EAST GODAVARI
CHC ALLAVARAM,ANDHRA PRADESH,EAST GODAVARI
"CHC, KADIYAM",ANDHRA PRADESH,EAST GODAVARI
CHC MANDAPETA,ANDHRA PRADESH,EAST GODAVARI
"CHC, MUMMIDIVARAM",ANDHRA PRADESH,EAST GODAVARI
"CHC, PEDAPUDI",ANDHRA PRADESH,EAST GODAVARI
"CHC, T.KOTTAPALLI",ANDHRA PRADESH,EAST GODAVARI
"AREA HOSPITAL, PEDDAPURAM",ANDHRA PRADESH,EAST GODAVARI
CHC SALURU,ANDHRA PRADESH,VIZIANAGARAM
COMMUNITY HEALTH CENTER-PITAHAPURAM,ANDHRA PRADESH,EAST GODAVARI
COMMUNITY HEALTH CENTER-SAMALKOT,ANDHRA PRADESH,EAST GODAVARI
COMMUNITY HEALTH CENTRE-ORVAKAL,ANDHRA PRADESH,KURNOOL
"COMMUNITY HEALTH CENTRE, JAGGAMPETA",ANDHRA PRADESH,EAST GODAVARI
COMMUNITY HEALTH CENTRE-PRATHIPADU,ANDHRA PRADESH,EAST GODAVARI
COMMUNITY HEALTH CENTER ROUTHULAPUDI,ANDHRA PRADESH,EAST GODAVARI
CHC Y RAMAVARAM,ANDHRA PRADESH,EAST GODAVARI
"CHC , KANEKAL",ANDHRA PRADESH,ANANTHPUR
"CHC, NALLAMADA",ANDHRA PRADESH,ANANTHPUR
"AREA HOSPITAL, ATMAKUR",ANDHRA PRADESH,NELLOR
"AREA HOSPITAL, GUNTAKAL",ANDHRA PRADESH,ANANTHPUR
"Area Hospital,Tiruvuru",ANDHRA PRADESH,KRISHNA
"CHC, Guduru",ANDHRA PRADESH,KRISHNA
"CHC, Jaggaiahpeta",ANDHRA PRADESH,KRISHNA
"CHC, Nandigama",ANDHRA PRADESH,KRISHNA
"CHC,Mylavaram",ANDHRA PRADESH,KRISHNA
"CHC, Vuyyuru",ANDHRA PRADESH,KRISHNA
"CHC, Tallarevu",ANDHRA PRADESH,EAST GODAVARI
"CHC, Yeleswaram",ANDHRA PRADESH,EAST GODAVARI
"Area HospitaL, Tadipatri",ANDHRA PRADESH,ANANTHPUR
"CHC,Kalyandurg",ANDHRA PRADESH,ANANTHPUR
"District Hospital,Hindupur",ANDHRA PRADESH,ANANTHPUR
"Area Hospital,Markapur",ANDHRA PRADESH,PRAKASAM
"CHC,Satyavedu",ANDHRA PRADESH,CHITTOOR
"CHC,KALIKIRI",ANDHRA PRADESH,CHITTOOR
"CHC,P.Kothakota",ANDHRA PRADESH,CHITTOOR
"CHC,Sodam",ANDHRA PRADESH,CHITTOOR
"CHC,VAYALPADU",ANDHRA PRADESH,CHITTOOR
"CHC,Piler",ANDHRA PRADESH,CHITTOOR
"CHC,Puttur",ANDHRA PRADESH,CHITTOOR
"CHC,thamballapalle",ANDHRA PRADESH,CHITTOOR
"CHC,Chinnagottigallu",ANDHRA PRADESH,CHITTOOR
"CHC,V.Kota",ANDHRA PRADESH,CHITTOOR
"CHC,Nakkapalli",ANDHRA PRADESH,VISHAKHAPATNAM
"Area Hospital,Araku",ANDHRA PRADESH,VISHAKHAPATNAM
"Area Hospital,Paderu",ANDHRA PRADESH,VISHAKHAPATNAM
"CHC,Gajapathinagaram",ANDHRA PRADESH,VIZIANAGARAM
"CHC,Pathikonda",ANDHRA PRADESH,KURNOOL
"CHC,Allagadda",ANDHRA PRADESH,KURNOOL
"CHC,Koilkuntla",ANDHRA PRADESH,KURNOOL
"CHC,Chennur",ANDHRA PRADESH,CUDDAPAH
"CHC,Rajampeta",ANDHRA PRADESH,CUDDAPAH
"CHC,Achanta",ANDHRA PRADESH,WEST GODAVARI
"CHC,AKIVIDU",ANDHRA PRADESH,WEST GODAVARI
"CHC, Bhimadolu",ANDHRA PRADESH,WEST GODAVARI
"CHC,Bhimavaram",ANDHRA PRADESH,WEST GODAVARI
CHC CHINTALPAUDI,ANDHRA PRADESH,WEST GODAVARI
"CHC,Denduluru",ANDHRA PRADESH,WEST GODAVARI
"CHC, GOPALAPURAM",ANDHRA PRADESH,WEST GODAVARI
"CHC,Kovvuru",ANDHRA PRADESH,WEST GODAVARI
"CHC,Narasapuram",ANDHRA PRADESH,WEST GODAVARI
"CHC ,Nellimarala",ANDHRA PRADESH,VIZIANAGARAM
"CHC,Nidadavole",ANDHRA PRADESH,WEST GODAVARI
"CHC,Penugonda",ANDHRA PRADESH,WEST GODAVARI
"CHC,Chinamerangi",ANDHRA PRADESH,VIZIANAGARAM
"CHC,Bobbili",ANDHRA PRADESH,VIZIANAGARAM
"CHC,Bhogapuram",ANDHRA PRADESH,VIZIANAGARAM
"CHC,Badangi",ANDHRA PRADESH,VIZIANAGARAM
"CHC,Cheepurupalli",ANDHRA PRADESH,VIZIANAGARAM
"CHC,Kota",ANDHRA PRADESH,NELLOR
"CHC,Pamidi",ANDHRA PRADESH,ANANTHPUR
Government General Hospital - Nellore,ANDHRA PRADESH,NELLOR
"MR.Government General Hospital,Vizianagaram",ANDHRA PRADESH,VIZIANAGARAM
"CHC,Vissannapeta",ANDHRA PRADESH,KRISHNA
"CHC,Porumamilla",ANDHRA PRADESH,CUDDAPAH
"CHC,Jammalamadugu",ANDHRA PRADESH,CUDDAPAH
"CHC,Kanigiri",ANDHRA PRADESH,PRAKASAM
"CHC,Gurazala",ANDHRA PRADESH,GUNTUR
"chc,Sullurupet",ANDHRA PRADESH,NELLOR
"CHC,Venkatagiri",ANDHRA PRADESH,NELLOR
"CHC,Kovur",ANDHRA PRADESH,NELLOR
"CHC,Rapur",ANDHRA PRADESH,NELLOR
"CHC,Naidupet",ANDHRA PRADESH,NELLOR
"CHC,Allur",ANDHRA PRADESH,NELLOR
"CHC,Indukurpeta",ANDHRA PRADESH,NELLOR
"CHC,Icchapuram",ANDHRA PRADESH,SRIKAKULAM
"CHC,Budithi",ANDHRA PRADESH,SRIKAKULAM
"CHC,Vinukonda",ANDHRA PRADESH,GUNTUR
"CHC,Prathipadu",ANDHRA PRADESH,GUNTUR
"CHC,Nagaram",ANDHRA PRADESH,GUNTUR
"CHC,Chilakuripeta",ANDHRA PRADESH,GUNTUR
"CHC,Pedakurapadu",ANDHRA PRADESH,GUNTUR
"CHC,Ponnur",ANDHRA PRADESH,GUNTUR
"CHC,Ipur",ANDHRA PRADESH,GUNTUR
Rims General Hospital,ANDHRA PRADESH,CUDDAPAH
Govt Hospital For Chest And Communicable Diseases,ANDHRA PRADESH,VISHAKHAPATNAM
Area Hospital - Madanapalli,ANDHRA PRADESH,CHITTOOR
Area Hospital - Kuppam,ANDHRA PRADESH,CHITTOOR
Area Hospital - Ramachandrapuram,ANDHRA PRADESH,EAST GODAVARI
Area Hospital - Bapatla,ANDHRA PRADESH,GUNTUR
Area Hospital - Adoni,ANDHRA PRADESH,KURNOOL
Area Hospital - Gudivada,ANDHRA PRADESH,KRISHNA
Area Hospital - Parvathipuram,ANDHRA PRADESH,VIZIANAGARAM
Area Hospital - Tanuku,ANDHRA PRADESH,WEST GODAVARI
District Hospital - Chittoor,ANDHRA PRADESH,CHITTOOR
District Hospital - Rajahmundry,ANDHRA PRADESH,EAST GODAVARI
District Hospital - Tenali,ANDHRA PRADESH,GUNTUR
District Hospital - Nandyal,ANDHRA PRADESH,KURNOOL
District Hospital - Machilipatnam,ANDHRA PRADESH,KRISHNA
Rajiv Gandhi Institute of Medical Sciences RIMS Ongole,ANDHRA PRADESH,PRAKASAM
District Hospital - Vizianagaram,ANDHRA PRADESH,VIZIANAGARAM
King George Hospital,ANDHRA PRADESH,VISHAKHAPATNAM
Area Hospital - Pulivendula,ANDHRA PRADESH,CUDDAPAH
District Hospital - Proddutur,ANDHRA PRADESH,CUDDAPAH
Area Hospital - Nuzividu,ANDHRA PRADESH,KRISHNA
Area Hospital - Kavali,ANDHRA PRADESH,NELLOR
Area Hospital - Gudur,ANDHRA PRADESH,NELLOR
Area Hospital - Narsaraopet,ANDHRA PRADESH,GUNTUR
Area Hospital - Cheerala,ANDHRA PRADESH,PRAKASAM
Area Hospitalc - Palakonda,ANDHRA PRADESH,SRIKAKULAM
"Rims Govt. General Hospital, Srikakulam",ANDHRA PRADESH,SRIKAKULAM
Area Hospital - Narsipatnam,ANDHRA PRADESH,VISHAKHAPATNAM
Area Hospital - Kadiri,ANDHRA PRADESH,ANANTHPUR
Area Hospital - Palamaneru,ANDHRA PRADESH,CHITTOOR
Area Hospital - Sri Kalahasthi,ANDHRA PRADESH,CHITTOOR
Area Hospital - Tadepalligudem,ANDHRA PRADESH,WEST GODAVARI
CHC-Palakole,ANDHRA PRADESH,WEST GODAVARI
Govt General Hospital Kurnool,ANDHRA PRADESH,KURNOOL
District Hospital - Eluru,ANDHRA PRADESH,WEST GODAVARI
Govt General Hospital Anantapur,ANDHRA PRADESH,ANANTHPUR
Government Ent Hospital,ANDHRA PRADESH,VISHAKHAPATNAM
CHC BANGARU PALYAM,ANDHRA PRADESH,CHITTOOR
CHC-Buchi Reddy palem,ANDHRA PRADESH,NELLOR
AREA HOSPITAL-NAGARI,ANDHRA PRADESH,CHITTOOR
CHC-Addanki,ANDHRA PRADESH,PRAKASAM
CHC-Ranasthalam,ANDHRA PRADESH,SRIKAKULAM
CHC-Sompeta,ANDHRA PRADESH,SRIKAKULAM
CHC-Ponduru,ANDHRA PRADESH,SRIKAKULAM
CHC- Amadalavalasa,ANDHRA PRADESH,SRIKAKULAM
CHC-Haripuram,ANDHRA PRADESH,SRIKAKULAM
CHC-Baruva,ANDHRA PRADESH,SRIKAKULAM
CHC-Kotabommali,ANDHRA PRADESH,SRIKAKULAM
CHC-Dharmavaram,ANDHRA PRADESH,ANANTHPUR
CHC-Kotauratla,ANDHRA PRADESH,VISHAKHAPATNAM
CHC-V Madugula,ANDHRA PRADESH,VISHAKHAPATNAM
CHC-Darsi,ANDHRA PRADESH,PRAKASAM
CHC-Ulavapadu,ANDHRA PRADESH,PRAKASAM
CHC-Cumbum,ANDHRA PRADESH,PRAKASAM
CHC-Mydukur,ANDHRA PRADESH,CUDDAPAH
CHC-Rayachoty,ANDHRA PRADESH,CUDDAPAH
CHC-Sidhout,ANDHRA PRADESH,CUDDAPAH
CHC-Vempalli,ANDHRA PRADESH,CUDDAPAH
CHC-Lakkireddy palli,ANDHRA PRADESH,CUDDAPAH
CHC-Badvel,ANDHRA PRADESH,CUDDAPAH
CHC-P.Gannavaram,ANDHRA PRADESH,EAST GODAVARI
CHC-Alamuru,ANDHRA PRADESH,EAST GODAVARI
CHC-Veldurthy,ANDHRA PRADESH,KURNOOL
CHC-Panyam,ANDHRA PRADESH,KURNOOL
CHC-Velugodu,ANDHRA PRADESH,KURNOOL
CHC-Alur,ANDHRA PRADESH,KURNOOL
CHC- Midthur,ANDHRA PRADESH,KURNOOL
CHC- Podalakuru,ANDHRA PRADESH,NELLOR
CHC-Nizampatnam,ANDHRA PRADESH,GUNTUR
CHC-Sattenapalli,ANDHRA PRADESH,GUNTUR
CHC-P.V.Palem,ANDHRA PRADESH,GUNTUR
CHC-Kollipara,ANDHRA PRADESH,GUNTUR
CHC-Vemuru,ANDHRA PRADESH,GUNTUR
CHC-Amaravathi,ANDHRA PRADESH,GUNTUR
C.H.C.Kankipadu,ANDHRA PRADESH,KRISHNA
C.H.C - Kaikalur,ANDHRA PRADESH,KRISHNA
C.H.C - Challapalli,ANDHRA PRADESH,KRISHNA
CHC-Pamur,ANDHRA PRADESH,PRAKASAM
CHC-Kamalapuram,ANDHRA PRADESH,CUDDAPAH
CHC-V.P.SOUTH,ANDHRA PRADESH,GUNTUR
CHC-Dhone,ANDHRA PRADESH,KURNOOL
CHC-Chodavaram,ANDHRA PRADESH,VISHAKHAPATNAM
CHC-Singanamala,ANDHRA PRADESH,ANANTHPUR
CHC-Macherla,ANDHRA PRADESH,GUNTUR
Padmabhushan Dr.PSR Govt.Regional Eye Hospital,ANDHRA PRADESH,KURNOOL
CHC-Gooty,ANDHRA PRADESH,ANANTHPUR
CHC-Seethampeta,ANDHRA PRADESH,SRIKAKULAM
CHC-Kaviti,ANDHRA PRADESH,SRIKAKULAM
CHC-Kotturu,ANDHRA PRADESH,SRIKAKULAM
HOMI BHABHA CANCER HOSPITAL & RESEARCH CENTRE,ANDHRA PRADESH,VISHAKHAPATNAM
Area hosital anakapalli,ANDHRA PRADESH,VISHAKHAPATNAM
MCH HOSPITAL ADONI,ANDHRA PRADESH,KURNOOL
MCH ongole,ANDHRA PRADESH,PRAKASAM
Area Hospital kandukur,ANDHRA PRADESH,PRAKASAM
Area Hospital Kanigiri,ANDHRA PRADESH,PRAKASAM
Area hospital Markapur,ANDHRA PRADESH,PRAKASAM
Area Hospital Giddalur,ANDHRA PRADESH,PRAKASAM
Govt Fever Hospital,ANDHRA PRADESH,GUNTUR
Community Health Centre Agnampudi,ANDHRA PRADESH,VISHAKHAPATNAM
Area Hospital - Penukonda,ANDHRA PRADESH,ANANTHPUR
CHC - Rajam,ANDHRA PRADESH,SRIKAKULAM
CHC - Palasa,ANDHRA PRADESH,SRIKAKULAM
CHC - Patapatnam,ANDHRA PRADESH,SRIKAKULAM
Area hospital - Tekkali,ANDHRA PRADESH,SRIKAKULAM
Area hospital - Narasannapet,ANDHRA PRADESH,SRIKAKULAM
Mother and Child Hospital,ANDHRA PRADESH,NELLOR
Area hospital - Nandigama,ANDHRA PRADESH,KRISHNA
Sri Venkateswara Institute Of Medical Sciences,ANDHRA PRADESH,CHITTOOR
Dr.R.S.P.R.Govt.Regional Eye Hospital,ANDHRA PRADESH,VISHAKHAPATNAM
Area hospital - Avanigadda,ANDHRA PRADESH,KRISHNA
Area hospital - Amalapuram,ANDHRA PRADESH,EAST GODAVARI
Area hospital - Razole,ANDHRA PRADESH,EAST GODAVARI
Area hospital - Kothapeta,ANDHRA PRADESH,EAST GODAVARI
Area hospital - S.kota,ANDHRA PRADESH,VIZIANAGARAM
MCH - Vizianagaram,ANDHRA PRADESH,VIZIANAGARAM
CHC - Banaganapalli,ANDHRA PRADESH,KURNOOL
Area Hospital - Jangareddy gudem,ANDHRA PRADESH,WEST GODAVARI
CHC-Punganur,ANDHRA PRADESH,CHITTOOR
Area hosptial - Tuni,ANDHRA PRADESH,EAST GODAVARI
Area hospital - Rampachodavaram,ANDHRA PRADESH,EAST GODAVARI
Area Hospital - Chandragiri,ANDHRA PRADESH,CHITTOOR
Government Victoria Hospital,ANDHRA PRADESH,VISHAKHAPATNAM
"Government General Hospital, Guntur",ANDHRA PRADESH,GUNTUR
"Government General Hospital,Kakinada",ANDHRA PRADESH,EAST GODAVARI
Govt. General Hospital- Vijayawada,ANDHRA PRADESH,KRISHNA
Government Maternity Hospital Tirupathi,ANDHRA PRADESH,CHITTOOR
Sri Balaji Institute of Surgery Research and Rehabilitation for disabledBIRRD Trust Hospital,ANDHRA PRADESH,CHITTOOR
PHC Ramapura,KARNATAKA,CHIKKABALLAPURA
Alkapura PHC,KARNATAKA,CHIKKABALLAPURA
PHC Kolala,KARNATAKA,TUMAKURU
PHC Idagur,KARNATAKA,TUMAKURU
PHC Gedare Govt Hospital,KARNATAKA,CHIKKABALLAPURA
Primary Health Centre Chandragutti,KARNATAKA,SHIVAMOGGA
Primary Health Centre Hultikoppa,KARNATAKA,SHIVAMOGGA
Primary health centre yannekoppa,KARNATAKA,SHIVAMOGGA
Primary Health Centre Hosabale,KARNATAKA,SHIVAMOGGA
Epedimic Disease Hospital,KARNATAKA,BENGALURU URBAN
phc chikkajogihalli,KARNATAKA,SHIVAMOGGA
phcharogoppa,KARNATAKA,SHIVAMOGGA
phc hithla,KARNATAKA,SHIVAMOGGA
phchothanakatte,KARNATAKA,SHIVAMOGGA
PHC SALUR,KARNATAKA,SHIVAMOGGA
phc sunnadakoppa,KARNATAKA,SHIVAMOGGA
JAGA JEEVAN RAM NAGAR REFERRAL HOSPITAL,KARNATAKA,BENGALURU URBAN
SRIRAM PURA REFERRAL HOSPITAL,KARNATAKA,BENGALURU URBAN
phc chintaki,KARNATAKA,BIDAR
PHC Dpalya,KARNATAKA,CHIKKABALLAPURA
phc ashwathnagara,KARNATAKA,SHIVAMOGGA
PRIMARY HEALTH CENTER KADUGODI,KARNATAKA,BENGALURU URBAN
PRIMERY HEALTH CENTRE RODALABANDA,KARNATAKA,RAICHUR
PRIMARY HEALTH CENTERE D.N.DODDI,KARNATAKA,KOLAR
Parimary Helth Center Nagaral,KARNATAKA,RAICHUR
primary health center bherya,KARNATAKA,MYSURU
PHC KENCHARLAHALLI Dr Roshni Robert,KARNATAKA,CHIKKABALLAPURA
PHC BURUDAGUNTE,KARNATAKA,CHIKKABALLAPURA
PHC MURUGAMALLA,KARNATAKA,CHIKKABALLAPURA
PRIMARY HEALTH CENTER MATHODU,KARNATAKA,CHITRADURGA
PHC INGALAGI,KARNATAKA,DHARWAD
PRIMARY HEALTH CENTER MADADAKERE,KARNATAKA,CHITRADURGA
PHC SANIKERE,KARNATAKA,CHITRADURGA
P H C CHINNASANDRA    Dr K Kavitha,KARNATAKA,CHIKKABALLAPURA
PHC Imanvgala,KARNATAKA,CHITRADURGA
MALLAPPANA HALLI P H C,KARNATAKA,CHITRADURGA
Pandrahalli PHC Chitradurga,KARNATAKA,CHITRADURGA
PHC KAREHALLI,KARNATAKA,HASSAN
PRIMARY HEALTH CENTER G N KERE,KARNATAKA,CHITRADURGA
Primary Health center Adivala,KARNATAKA,CHITRADURGA
PRIMARY HEALTH CENTRE JAJUR,KARNATAKA,CHITRADURGA
PRIMARY HEALTH CENTER JANKAL,KARNATAKA,CHITRADURGA
PHC Nakkalahalli,KARNATAKA,CHIKKABALLAPURA
PHC Kallinayakanahalli,KARNATAKA,CHIKKABALLAPURA
PHC BALLASAMUDRA,KARNATAKA,CHITRADURGA
Primary health centre Kondla halli,KARNATAKA,CHITRADURGA
P H C YARABALLI,KARNATAKA,CHITRADURGA
Primary health centre Yalladakere,KARNATAKA,CHITRADURGA
Primary Health Center Kadakol,KARNATAKA,HAVERI
PHC maskal,KARNATAKA,CHITRADURGA
PRIMIRY HEALTH CENTER RAMAGIRI,KARNATAKA,CHITRADURGA
PRIMIRI HEALTH CENTER MUTTUGADURU,KARNATAKA,CHITRADURGA
PHC SANTHEKALLAHALLI  Dr SHRUTHI S J,KARNATAKA,CHIKKABALLAPURA
PHC      Dr POORNIMA NARAYAN,KARNATAKA,CHIKKABALLAPURA
PHC KAIWARA,KARNATAKA,CHIKKABALLAPURA
PHC Koluru,KARNATAKA,BALLARI
Peresandra Primary Health Center,KARNATAKA,CHIKKABALLAPURA
Dibbur Primary Health  center,KARNATAKA,CHIKKABALLAPURA
Nayanahalli Primary Health Center,KARNATAKA,CHIKKABALLAPURA
Muddenahalli primary health center,KARNATAKA,CHIKKABALLAPURA
24/7 PHC Doddaullarthi Chitradurga,KARNATAKA,CHITRADURGA
UHC CHINTAMANI,KARNATAKA,CHIKKABALLAPURA
PHC HUVINAHOLE,KARNATAKA,CHITRADURGA
PHC HONAGERA,KARNATAKA,YADGIR
PRIMARY HEALTH CENTER SIDDAPUR,KARNATAKA,BENGALURU URBAN
PHC Sugatur,KARNATAKA,KOLAR
Primary Health Center Gargeshwari,KARNATAKA,MYSURU
24/7 PHC C G Halli Chitradurga,KARNATAKA,CHITRADURGA
Mandikal primary health center,KARNATAKA,CHIKKABALLAPURA
PRIMARY HEALTH CENTRE VANDAL,KARNATAKA,VIJAYAPURA
phc dodda challur,KARNATAKA,CHITRADURGA
K GOLLAHALLI PHC,KARNATAKA,BENGALURU URBAN
PHC Shivapura,KARNATAKA,MANDYA
PHC BEWOOR,KARNATAKA,BAGALKOTE
PHC KOLHAR,KARNATAKA,VIJAYAPURA
PRIMARRY HEALTH CENTRE MANAGULI,KARNATAKA,VIJAYAPURA
PREMIRY HEALTH CENTER  N G HALLI,KARNATAKA,CHITRADURGA
phc Ashoka siddapura,KARNATAKA,CHITRADURGA
PRIMARY HEALTH CENTER HARIHARAPURA,KARNATAKA,HASSAN
P H C Bheemasamudra Chitradurga,KARNATAKA,CHITRADURGA
P H C G R Halli Chitradurga,KARNATAKA,CHITRADURGA
primary health centre kemmannu,KARNATAKA,UDUPI
PREMIRY HEALTH CENTER GUNDERI,KARNATAKA,CHITRADURGA
PHC MUSTALAGUMI,KARNATAKA,CHITRADURGA
PHC SIDDESHANADURGA,KARNATAKA,CHITRADURGA
PREMIRY HEALTH CENTER GOWDIHALLI Q,KARNATAKA,CHITRADURGA
PHC Abbinahole,KARNATAKA,CHITRADURGA
P H C KALAMARAHALLY,KARNATAKA,CHITRADURGA
PHC Beturupalya,KARNATAKA,CHITRADURGA
PRIMARY HEALTH CENTER HOOVINAHALLI KAVALU,KARNATAKA,HASSAN
PRIMERY HEALTH CENTER THALIKATTE,KARNATAKA,CHITRADURGA
PRIMARY HEALTH CENTER NITTUR,KARNATAKA,HASSAN
PHC MEERASABIHALLY,KARNATAKA,CHITRADURGA
PRIMERY HEALTH CENTER CHITHRALLI CROSS,KARNATAKA,CHITRADURGA
PREMIRY HEALTH CENTER SHIVAPURA,KARNATAKA,CHITRADURGA
PRIMERY HEALTH CENTER THUPADAHALLI,KARNATAKA,CHITRADURGA
PHC Kodihally,KARNATAKA,CHITRADURGA
phc mallapanahally,KARNATAKA,CHITRADURGA
phc khandenahally,KARNATAKA,CHITRADURGA
PHC CHANNAMANAGATHIHALLY,KARNATAKA,CHITRADURGA
PHC A V Kottige,KARNATAKA,CHITRADURGA
Dimhans Dharwad,KARNATAKA,DHARWAD
PHC KADABA,KARNATAKA,TUMAKURU
PHC Cheluru,KARNATAKA,TUMAKURU
primary health center Navali,KARNATAKA,KOPPAL
PHC GULUR,KARNATAKA,TUMAKURU
THC YELANDUR,KARNATAKA,CHAMARAJANAGARA
PHC HEBBUR,KARNATAKA,TUMAKURU
General Hospital Belgola PHC,KARNATAKA,MANDYA
PHC JERATAGI,KARNATAKA,KALABURAGI
PHC MALLI,KARNATAKA,KALABURAGI
24x7 PHC Pathapalya,KARNATAKA,CHIKKABALLAPURA
PHC Billur Bagepalli tq,KARNATAKA,CHIKKABALLAPURA
24x7 PHC Mittemari Bagepalli tq,KARNATAKA,CHIKKABALLAPURA
PHC Shivapura Bagepalli tq,KARNATAKA,CHIKKABALLAPURA
PHC Marganukunte Bagepalli tq,KARNATAKA,CHIKKABALLAPURA
PRIMARY HEALTH CENTER SULIBELE,KARNATAKA,BENGALURU RURAL
PRIMARY HEALTH CENTRE SONDEKOPPA,KARNATAKA,BENGALURU URBAN
PHC ARABILACHI,KARNATAKA,SHIVAMOGGA
PCH THYAGARTHI,KARNATAKA,SHIVAMOGGA
phc Ripponpete,KARNATAKA,SHIVAMOGGA
PHC ANTHARAGANGE,KARNATAKA,SHIVAMOGGA
PHC YADEHALLI,KARNATAKA,SHIVAMOGGA
URBAN HEALTH CENTER NEHARUNAGARA,KARNATAKA,SHIVAMOGGA
P H C SHIRAVANTE,KARNATAKA,SHIVAMOGGA
UHC JANNAPURA,KARNATAKA,SHIVAMOGGA
PHC Haridravathi,KARNATAKA,SHIVAMOGGA
PHC Sonale,KARNATAKA,SHIVAMOGGA
PHC Maluru,KARNATAKA,SHIVAMOGGA
PHC GANWAR,KARNATAKA,KALABURAGI
phc Sangameshwar,KARNATAKA,DHARWAD
PRIMIRY HEALTH CENTER,KARNATAKA,CHITRADURGA
24/7 PHC Malladihalli Chitradurga,KARNATAKA,CHITRADURGA
phc nagasamudra,KARNATAKA,CHITRADURGA
Primary health centre Moodi,KARNATAKA,SHIVAMOGGA
Primary health centre bharangi,KARNATAKA,SHIVAMOGGA
URBAN HEALTH CENTRE BAPUJI NAGARA  HOSPITAL SHIMOG,KARNATAKA,SHIVAMOGGA
PRIMARY HEALTH CENTRE GONDICHATNAHALLI HOSPITAL SH,KARNATAKA,SHIVAMOGGA
PRIMARY HEALTH CENTER ALADAHALLI,KARNATAKA,SHIVAMOGGA
PRIMARY HAELTH CENTER HARAMAGHATTA  HOSPITAL,KARNATAKA,SHIVAMOGGA
URBA HEALTH CENTRE HOSPITAL BOMMANAKATTE SHIMOGA,KARNATAKA,SHIVAMOGGA
PRIMARY HEALTH CENTRE CHORADI HOSPITAL SHIMOGA,KARNATAKA,SHIVAMOGGA
URBAN HEALTH CENTRE SRIRAMANAGARA HOSPITAL SHIMOGA,KARNATAKA,SHIVAMOGGA
PRIMARY HEALTH CENTRE KUMSI HOSPITAL SHIMOA,KARNATAKA,SHIVAMOGGA
URBAN PRIMARY HEALTH CENTRE KOTE HOSPITAL SHIMOGA,KARNATAKA,SHIVAMOGGA
PRIMARY HEALTH CENTRE HARANAHALLI SHIMOGAHOSPITAL,KARNATAKA,SHIVAMOGGA
PRIMARY HEALTH CENTRE MANDAGHATTA SHIMOGA,KARNATAKA,SHIVAMOGGA
URBAN HEALTH CENTRE TUNGANAGARA HOSPITAL SHIMOGA,KARNATAKA,SHIVAMOGGA
URBAN PRIMARY HEALTH CENTRE SEEGEHATTI SHIMOGA,KARNATAKA,SHIVAMOGGA
phc jagapur,KARNATAKA,GADAG
PRIMARY HEALTH CENTER DODDANAKKUNDI,KARNATAKA,BENGALURU URBAN
phc 24/7 Donabhaghtta,KARNATAKA,SHIVAMOGGA
Primary Health Center Hattimattur,KARNATAKA,HAVERI
PRIMARY HEALTH CENTER DANDOTI,KARNATAKA,KALABURAGI
PHC K MUTHAKADAHALLI,KARNATAKA,CHIKKABALLAPURA
PHC Huduguru,KARNATAKA,CHIKKABALLAPURA
Primary Health Center Yaluvigi,KARNATAKA,HAVERI
Primiry Health center Turuvanur,KARNATAKA,CHITRADURGA
PHC HUMCHADAKATTE,KARNATAKA,SHIVAMOGGA
P H C AVINAHALLA,KARNATAKA,SHIVAMOGGA
PHC IRAGAMPALLI,KARNATAKA,CHIKKABALLAPURA
PHC Joolapalya,KARNATAKA,CHIKKABALLAPURA
PHC MARASHETTIHALLI,KARNATAKA,SHIVAMOGGA
PHC SADALI,KARNATAKA,CHIKKABALLAPURA
PHC Idaguru,KARNATAKA,CHIKKABALLAPURA
PHC JANGAMAKOTE,KARNATAKA,CHIKKABALLAPURA
PRIMARY HEALTH CENTER hedathale,KARNATAKA,MYSURU
Mudagere PHC,KARNATAKA,RAMANAGAR
PHC Y HUNASENAHALLI,KARNATAKA,CHIKKABALLAPURA
PHC E THIMMASANDRA,KARNATAKA,CHIKKABALLAPURA
PHC KUNDALAGURKI,KARNATAKA,CHIKKABALLAPURA
PHC Hampasandra,KARNATAKA,CHIKKABALLAPURA
PHC MELURU,KARNATAKA,CHIKKABALLAPURA
PHC HEMARLAHALLI,KARNATAKA,CHIKKABALLAPURA
PHC BACHIGONDENAHALLI,KARNATAKA,BALLARI
P H C Yellodu,KARNATAKA,CHIKKABALLAPURA
PRIMARY HEALTH CENTRE TANGADAGI,KARNATAKA,VIJAYAPURA
PHC HIROLI,KARNATAKA,KALABURAGI
PHC Beechaganahalli,KARNATAKA,CHIKKABALLAPURA
PHCPADASAVALI,KARNATAKA,KALABURAGI
Thokasandra PHC,KARNATAKA,RAMANAGAR
PHC GANJIGUNTE,KARNATAKA,CHIKKABALLAPURA
PHC SARASAMBA,KARNATAKA,KALABURAGI
PHC JIDAGA,KARNATAKA,KALABURAGI
Primary health center kabbur,KARNATAKA,HAVERI
UPHC N H PALYA MYSURU,KARNATAKA,MYSURU
Venkatarayana Doddi PHC,KARNATAKA,RAMANAGAR
PRIMARY HEALTH CENTRE DHAVALAGI,KARNATAKA,VIJAYAPURA
